,MSA,Notes,Quarter,Rate,Year,period
1,"Albany-Schenectady-Troy, NY ",,2,72.3,2011,2011-02-01 00:00:00
2,"Alburquerque, NM",,2,72.2,2011,2011-02-01 00:00:00
3,"Allentown-Bethlehem-Easton, PA-NJ",,2,74.7,2011,2011-02-01 00:00:00
4,"Atlanta-Sandy Springs-Marietta, GA",,2,68.4,2011,2011-02-01 00:00:00
5,"Austin-Round Rock, TX",,2,61.2,2011,2011-02-01 00:00:00
6,"Bakersfield, CA",,2,56.5,2011,2011-02-01 00:00:00
7,"Baltimore-Towson, MD",,2,64.7,2011,2011-02-01 00:00:00
8,"Baton Rouge, LA",,2,76.5,2011,2011-02-01 00:00:00
9,"Birmingham-Hoover, AL",,2,78.8,2011,2011-02-01 00:00:00
10,"Boston-Cambridge-Quincy, MA-NH",,2,66.4,2011,2011-02-01 00:00:00
11,"Bridgeport-Stamford-Norwalk, CT",,2,71.9,2011,2011-02-01 00:00:00
12,"Buffalo-Cheektowaga-Tonawanda, NY",,2,68.0,2011,2011-02-01 00:00:00
13,"Charlotte-Gastonia-Concord, NC-SC",,2,61.0,2011,2011-02-01 00:00:00
14,"Chicago-Naperville-Joliet, IL",,2,67.7,2011,2011-02-01 00:00:00
15,"Cincinnati-Middletown, OH-KY-IN",,2,66.0,2011,2011-02-01 00:00:00
16,"Cleveland-Elyria-Mentor, OH",,2,70.7,2011,2011-02-01 00:00:00
17,"Columbia, SC",,2,69.8,2011,2011-02-01 00:00:00
18,"Columbus, OH",,2,62.8,2011,2011-02-01 00:00:00
19,Dallas-Ft,,2,61.4,2011,2011-02-01 00:00:00
20,"Dayton, OH",,2,68.8,2011,2011-02-01 00:00:00
21,"Denver-Aurora, CO",,2,62.4,2011,2011-02-01 00:00:00
22,"Detroit-Warren-Livonia, MI",,2,73.8,2011,2011-02-01 00:00:00
23,"El Paso, TX",,2,72.2,2011,2011-02-01 00:00:00
24,"Fresno, CA",,2,50.7,2011,2011-02-01 00:00:00
25,"Grand Rapids-Wyoming, MI",,2,80.0,2011,2011-02-01 00:00:00
26,"Greensboro-High Point, NC",,2,60.4,2011,2011-02-01 00:00:00
27,"Hartford-West Hartford-East Hartford, CT",,2,72.7,2011,2011-02-01 00:00:00
28,"Honolulu, HI",,2,53.0,2011,2011-02-01 00:00:00
29,"Houston-Baytown-Sugar Land, TX",,2,59.5,2011,2011-02-01 00:00:00
30,"Indianapolis, IN",,2,69.4,2011,2011-02-01 00:00:00
31,"Jacksonville, FL",,2,70.4,2011,2011-02-01 00:00:00
32,"Kansas City, MO-KS",,2,68.9,2011,2011-02-01 00:00:00
33,"Las Vegas-Paradise, NV",,2,54.0,2011,2011-02-01 00:00:00
34,"Los Angeles-Long Beach-Santa Ana, CA ",,2,51.1,2011,2011-02-01 00:00:00
35,"Louisville, KY-IN",,2,59.6,2011,2011-02-01 00:00:00
36,"Memphis, TN-AR-MS",,2,57.2,2011,2011-02-01 00:00:00
37,"Miami-Fort Lauderdale-Miami Beach, FL",,2,64.5,2011,2011-02-01 00:00:00
38,"Milwaukee-Waukesha-West Allis, WI",,2,63.2,2011,2011-02-01 00:00:00
39,Minneapolis-St,,2,66.9,2011,2011-02-01 00:00:00
40,"Nashville-Davidson-Murfreesboro, TN",,2,73.2,2011,2011-02-01 00:00:00
